# DecayCore target curve
# Target: Harman12
# Frequency_Hz Magnitude_dB
10.000000 12.000000
10.192325 12.000000
10.388349 12.000000
10.588142 12.000000
10.791779 12.000000
10.999331 12.000000
11.210876 12.000000
11.426489 12.000000
11.646249 12.000000
11.870235 12.000000
12.098529 12.000000
12.331214 12.000000
12.568374 12.000000
12.810095 12.000000
13.056465 12.000000
13.307573 12.000000
13.563511 12.000000
13.824371 12.000000
14.090248 12.000000
14.361239 12.000000
14.637441 12.000000
14.918956 12.000000
15.205884 12.000000
15.498331 12.000000
15.796403 12.000000
16.100207 12.000000
16.409854 12.000000
16.725456 12.000000
17.047128 12.000000
17.374987 12.000000
17.709151 12.000000
18.049742 12.000000
18.396884 12.000000
18.750701 12.000000
19.111324 12.000000
19.478882 12.000000
19.853510 12.000000
20.235342 11.990586
20.624518 11.975019
21.021179 11.959153
21.425468 11.942981
21.837533 11.926499
22.257524 11.909699
22.685591 11.892576
23.121891 11.875124
23.566583 11.857337
24.019827 11.839207
24.481788 11.820728
24.952634 11.801895
25.432535 11.773382
25.921666 11.743282
26.420204 11.712603
26.928330 11.681334
27.446229 11.649463
27.974088 11.616979
28.512099 11.583871
29.060458 11.550126
29.619363 11.515732
30.189017 11.480676
30.769627 11.444946
31.361403 11.408529
31.964561 11.367207
32.579319 11.323813
33.205901 11.279583
33.844533 11.234504
34.495447 11.188557
35.158880 11.141726
35.835073 11.093995
36.524271 11.045346
37.226723 10.995761
37.942686 10.945222
38.672418 10.893712
39.416185 10.841210
40.174256 10.782574
40.946907 10.705309
41.734418 10.626558
42.537075 10.546293
43.355168 10.464483
44.188996 10.381100
45.038860 10.296114
45.905070 10.209493
46.787938 10.121206
47.687787 10.031221
48.604942 9.939506
49.539735 9.846026
50.492508 9.754538
51.463604 9.664898
52.453377 9.573534
53.462186 9.480414
54.490397 9.385502
55.538383 9.288765
56.606524 9.190167
57.695209 9.089673
58.804831 8.987246
59.935794 8.882850
61.088509 8.776445
62.263393 8.667995
63.460873 8.562046
64.681383 8.461533
65.925367 8.359087
67.193276 8.254671
68.485570 8.148247
69.802717 8.039776
71.145197 7.929219
72.513496 7.816536
73.908111 7.701685
75.329548 7.584625
76.778323 7.465315
78.254961 7.343709
79.759998 7.219765
81.293982 7.109421
82.857467 6.999977
84.451022 6.888428
86.075226 6.774734
87.730666 6.658853
89.417945 6.540744
91.137675 6.420363
92.890479 6.297666
94.676994 6.172610
96.497868 6.045149
98.353762 5.915237
100.245349 5.784298
102.173317 5.660908
104.138364 5.535145
106.141204 5.406963
108.182563 5.276316
110.263183 5.143156
112.383818 5.007436
114.545239 4.869105
116.748228 4.728113
118.993587 4.584410
121.282130 4.437944
123.614687 4.288660
125.992105 4.160316
128.415247 4.063390
130.884991 3.964600
133.402235 3.863911
135.967892 3.761284
138.582893 3.656684
141.248187 3.550073
143.964741 3.441410
146.733541 3.330658
149.555592 3.217776
152.431918 3.102723
155.363563 2.985457
158.351590 2.865936
161.397085 2.737131
164.501153 2.597448
167.664919 2.455079
170.889533 2.309971
174.176163 2.162073
177.526004 2.011330
180.940271 1.857688
184.420203 1.701091
187.967062 1.541482
191.582136 1.378804
195.266737 1.212997
199.022202 1.044001
202.849894 0.943002
206.751202 0.864976
210.727542 0.785449
214.780357 0.704393
218.911117 0.621778
223.121323 0.537574
227.412501 0.451750
231.786209 0.364276
236.244034 0.275119
240.787595 0.184248
245.418539 0.091629
250.138548 -0.000462
254.949335 -0.016498
259.852645 -0.032842
264.850257 -0.049501
269.943987 -0.066480
275.135681 -0.083786
280.427224 -0.101424
285.820538 -0.119402
291.317577 -0.137725
296.920339 -0.156401
302.630856 -0.175436
308.451200 -0.194837
314.383484 -0.214612
320.429860 -0.234766
326.592524 -0.255308
332.873710 -0.276246
339.275700 -0.297586
345.800815 -0.319336
352.451425 -0.341505
359.229943 -0.364100
366.138828 -0.387129
373.180589 -0.410602
380.357780 -0.434526
387.673006 -0.458910
395.128922 -0.483763
402.728234 -0.502274
410.473700 -0.508728
418.368130 -0.515307
426.414390 -0.522012
434.615400 -0.528846
442.974135 -0.535812
451.493630 -0.542911
460.176975 -0.550147
469.027323 -0.557523
478.047885 -0.565040
487.241935 -0.572702
496.612810 -0.580511
506.163909 -0.588470
515.898700 -0.596582
525.820716 -0.604851
535.933556 -0.613278
546.240892 -0.621867
556.746463 -0.630622
567.454082 -0.639545
578.367636 -0.648640
589.491084 -0.657909
600.828464 -0.667357
612.383890 -0.676987
624.161555 -0.686801
636.165735 -0.696805
648.400784 -0.707001
660.871144 -0.717393
673.581340 -0.727984
686.535985 -0.738780
699.739780 -0.749783
713.197516 -0.760998
726.914079 -0.772428
740.894445 -0.784079
755.143688 -0.795953
769.666979 -0.808056
784.469590 -0.820391
799.556892 -0.832964
814.934360 -0.845779
830.607574 -0.858840
846.582224 -0.872152
862.864106 -0.885720
879.459130 -0.899549
896.373316 -0.913644
913.612805 -0.928011
931.183852 -0.942653
949.092834 -0.957577
967.346250 -0.972789
985.950724 -0.988292
1004.913009 -1.003930
1024.239986 -1.019392
1043.938669 -1.035151
1064.016207 -1.051213
1084.479885 -1.067584
1105.337131 -1.084270
1126.595513 -1.101276
1148.262748 -1.118610
1170.346697 -1.136277
1192.855375 -1.154284
1215.796951 -1.172638
1239.179751 -1.191344
1263.012260 -1.210410
1287.303127 -1.229843
1312.061169 -1.249649
1337.295369 -1.269836
1363.014885 -1.290412
1389.229052 -1.311383
1415.947382 -1.332758
1443.179573 -1.354544
1470.935506 -1.376748
1499.225255 -1.399380
1528.059086 -1.422447
1557.447463 -1.445958
1587.401052 -1.469921
1617.930723 -1.494345
1649.047555 -1.519238
1680.762842 -1.544610
1713.088092 -1.570470
1746.035038 -1.596828
1779.615635 -1.623693
1813.842070 -1.651074
1848.726765 -1.678981
1884.282380 -1.707426
1920.521817 -1.736417
1957.458229 -1.765967
1995.105020 -1.796084
2033.475852 -1.816738
2072.584651 -1.836292
2112.445610 -1.856223
2153.073194 -1.876537
2194.482147 -1.897241
2236.687498 -1.918344
2279.704562 -1.939852
2323.548952 -1.961774
2368.236578 -1.984118
2413.783658 -2.006892
2460.206722 -2.030103
