# DecayCore target curve
# Target: Harman6
# Frequency_Hz Magnitude_dB
10.000000 6.000000
10.192325 6.000000
10.388349 6.000000
10.588142 6.000000
10.791779 6.000000
10.999331 6.000000
11.210876 6.000000
11.426489 6.000000
11.646249 6.000000
11.870235 6.000000
12.098529 6.000000
12.331214 6.000000
12.568374 6.000000
12.810095 6.000000
13.056465 6.000000
13.307573 6.000000
13.563511 6.000000
13.824371 6.000000
14.090248 6.000000
14.361239 6.000000
14.637441 6.000000
14.918956 6.000000
15.205884 6.000000
15.498331 6.000000
15.796403 6.000000
16.100207 6.000000
16.409854 6.000000
16.725456 6.000000
17.047128 6.000000
17.374987 6.000000
17.709151 6.000000
18.049742 6.000000
18.396884 6.000000
18.750701 6.000000
19.111324 6.000000
19.478882 6.000000
19.853510 6.000000
20.235342 5.995293
20.624518 5.987510
21.021179 5.979576
21.425468 5.971491
21.837533 5.963249
22.257524 5.954850
22.685591 5.946288
23.121891 5.937562
23.566583 5.928668
24.019827 5.919603
24.481788 5.910364
24.952634 5.900947
25.432535 5.893346
25.921666 5.885821
26.420204 5.878151
26.928330 5.870333
27.446229 5.862366
27.974088 5.854245
28.512099 5.845968
29.060458 5.837531
29.619363 5.828933
30.189017 5.820169
30.769627 5.811237
31.361403 5.802132
31.964561 5.789069
32.579319 5.774604
33.205901 5.759861
33.844533 5.744835
34.495447 5.729519
35.158880 5.713909
35.835073 5.697998
36.524271 5.681782
37.226723 5.665254
37.942686 5.648407
38.672418 5.631237
39.416185 5.613737
40.174256 5.594772
40.946907 5.571593
41.734418 5.547967
42.537075 5.523888
43.355168 5.499345
44.188996 5.474330
45.038860 5.448834
45.905070 5.422848
46.787938 5.396362
47.687787 5.369366
48.604942 5.341852
49.539735 5.313808
50.492508 5.284846
51.463604 5.254966
52.453377 5.224511
53.462186 5.193471
54.490397 5.161834
55.538383 5.129588
56.606524 5.096722
57.695209 5.063224
58.804831 5.029082
59.935794 4.994283
61.088509 4.958815
62.263393 4.922665
63.460873 4.883734
64.681383 4.840657
65.925367 4.796752
67.193276 4.752002
68.485570 4.706392
69.802717 4.659904
71.145197 4.612522
72.513496 4.564230
73.908111 4.515008
75.329548 4.464839
76.778323 4.413706
78.254961 4.361590
79.759998 4.308471
81.293982 4.248241
82.857467 4.185701
84.451022 4.121959
86.075226 4.056991
87.730666 3.990773
89.417945 3.923282
91.137675 3.854493
92.890479 3.784381
94.676994 3.712920
96.497868 3.640085
98.353762 3.565850
100.245349 3.490186
102.173317 3.413067
104.138364 3.334465
106.141204 3.254352
108.182563 3.172697
110.263183 3.089473
112.383818 3.004647
114.545239 2.918190
116.748228 2.830071
118.993587 2.740257
121.282130 2.648715
123.614687 2.555413
125.992105 2.468820
128.415247 2.392664
130.884991 2.315043
133.402235 2.235930
135.967892 2.155295
138.582893 2.073109
141.248187 1.989343
143.964741 1.903965
146.733541 1.816946
149.555592 1.728253
152.431918 1.637854
155.363563 1.545717
158.351590 1.451807
161.397085 1.365073
164.501153 1.287471
167.664919 1.208377
170.889533 1.127762
174.176163 1.045596
177.526004 0.961850
180.940271 0.876493
184.420203 0.789495
187.967062 0.700823
