# DecayCore target curve
# Target: Harman4
# Frequency_Hz Magnitude_dB
10.000000 4.000000
10.192325 4.000000
10.388349 4.000000
10.588142 4.000000
10.791779 4.000000
10.999331 4.000000
11.210876 4.000000
11.426489 4.000000
11.646249 4.000000
11.870235 4.000000
12.098529 4.000000
12.331214 4.000000
12.568374 4.000000
12.810095 4.000000
13.056465 4.000000
13.307573 4.000000
13.563511 4.000000
13.824371 4.000000
14.090248 4.000000
14.361239 4.000000
14.637441 4.000000
14.918956 4.000000
15.205884 4.000000
15.498331 4.000000
15.796403 4.000000
16.100207 4.000000
16.409854 4.000000
16.725456 4.000000
17.047128 4.000000
17.374987 4.000000
17.709151 4.000000
18.049742 4.000000
18.396884 4.000000
18.750701 4.000000
19.111324 4.000000
19.478882 4.000000
19.853510 4.000000
20.235342 3.995293
20.624518 3.987510
21.021179 3.979576
21.425468 3.971491
21.837533 3.963249
22.257524 3.954850
22.685591 3.946288
23.121891 3.937562
23.566583 3.928668
24.019827 3.919603
24.481788 3.910364
24.952634 3.900947
25.432535 3.893346
25.921666 3.885821
26.420204 3.878151
26.928330 3.870333
27.446229 3.862366
27.974088 3.854245
28.512099 3.845968
29.060458 3.837531
29.619363 3.828933
30.189017 3.820169
30.769627 3.811237
31.361403 3.802132
31.964561 3.789069
32.579319 3.774604
33.205901 3.759861
33.844533 3.744835
34.495447 3.729519
35.158880 3.713909
35.835073 3.697998
36.524271 3.681782
37.226723 3.665254
37.942686 3.648407
38.672418 3.631237
39.416185 3.613737
40.174256 3.594772
40.946907 3.571593
41.734418 3.547967
42.537075 3.523888
43.355168 3.499345
44.188996 3.474330
45.038860 3.448834
45.905070 3.422848
46.787938 3.396362
47.687787 3.369366
48.604942 3.341852
49.539735 3.313808
50.492508 3.284846
51.463604 3.254966
52.453377 3.224511
53.462186 3.193471
54.490397 3.161834
55.538383 3.129588
56.606524 3.096722
57.695209 3.063224
58.804831 3.029082
59.935794 2.994283
61.088509 2.958815
62.263393 2.922665
63.460873 2.883734
64.681383 2.840657
65.925367 2.796752
67.193276 2.752002
68.485570 2.706392
69.802717 2.659904
71.145197 2.612522
72.513496 2.564230
73.908111 2.515008
75.329548 2.464839
76.778323 2.413706
78.254961 2.361590
79.759998 2.308471
81.293982 2.248241
82.857467 2.185701
84.451022 2.121959
86.075226 2.056991
87.730666 1.990773
89.417945 1.923282
91.137675 1.854493
92.890479 1.784381
94.676994 1.712920
96.497868 1.640085
98.353762 1.565850
100.245349 1.493130
102.173317 1.439147
104.138364 1.384126
106.141204 1.328046
108.182563 1.270888
110.263183 1.212631
112.383818 1.153253
114.545239 1.092733
116.748228 1.031050
118.993587 0.968180
121.282130 0.904100
123.614687 0.838789
125.992105 0.782992
128.415247 0.741453
130.884991 0.699114
133.402235 0.655962
135.967892 0.611979
138.582893 0.567150
141.248187 0.521460
143.964741 0.474890
146.733541 0.427425
149.555592 0.379047
152.431918 0.329739
155.363563 0.279482
158.351590 0.228258
161.397085 0.193015
164.501153 0.177494
167.664919 0.161675
170.889533 0.145552
174.176163 0.129119
177.526004 0.112370
180.940271 0.095299
184.420203 0.077899
187.967062 0.060165
191.582136 0.042089
195.266737 0.023666
199.022202 0.004889
202.849894 0.000000
206.751202 0.000000
210.727542 0.000000
214.780357 0.000000
218.911117 0.000000
223.121323 0.000000
227.412501 0.000000
231.786209 0.000000
236.244034 0.000000
240.787595 0.000000
245.418539 0.000000
250.138548 -0.000277
254.949335 -0.009899
259.852645 -0.019705
264.850257 -0.029701
269.943987 -0.039888
275.135681 -0.050271
280.427224 -0.060854
285.820538 -0.071641
291.317577 -0.082635
296.920339 -0.093841
302.630856 -0.105262
308.451200 -0.116902
314.383484 -0.128767
320.429860 -0.140860
326.592524 -0.153185
332.873710 -0.165747
339.275700 -0.178551
345.800815 -0.191602
352.451425 -0.204903
359.229943 -0.218460
366.138828 -0.232278
373.180589 -0.246361
380.357780 -0.260716
387.673006 -0.275346
395.128922 -0.290258
402.728234 -0.301364
410.473700 -0.305237
418.368130 -0.309184
426.414390 -0.313207
434.615400 -0.317308
442.974135 -0.321487
451.493630 -0.325747
460.176975 -0.330088
469.027323 -0.334514
478.047885 -0.339024
487.241935 -0.343621
496.612810 -0.348306
506.163909 -0.353082
515.898700 -0.357949
525.820716 -0.362910
535.933556 -0.367967
546.240892 -0.373120
556.746463 -0.378373
567.454082 -0.383727
578.367636 -0.389184
589.491084 -0.394746
600.828464 -0.400414
612.383890 -0.406192
624.161555 -0.412081
636.165735 -0.418083
648.400784 -0.424200
660.871144 -0.430436
673.581340 -0.436791
686.535985 -0.443268
699.739780 -0.449870
713.197516 -0.456599
726.914079 -0.463457
740.894445 -0.470447
755.143688 -0.477572
769.666979 -0.484833
784.469590 -0.492235
799.556892 -0.499778
814.934360 -0.507467
830.607574 -0.515304
846.582224 -0.523291
862.864106 -0.531432
879.459130 -0.539730
896.373316 -0.548187
913.612805 -0.556806
931.183852 -0.565592
949.092834 -0.574546
967.346250 -0.583673
985.950724 -0.592975
1004.913009 -0.602948
1024.239986 -0.614544
1043.938669 -0.626363
1064.016207 -0.638410
1084.479885 -0.650688
1105.337131 -0.663202
1126.595513 -0.675957
1148.262748 -0.688958
1170.346697 -0.702208
1192.855375 -0.715713
1215.796951 -0.729478
1239.179751 -0.743508
1263.012260 -0.757807
1287.303127 -0.772382
1312.061169 -0.787237
1337.295369 -0.802377
1363.014885 -0.817809
1389.229052 -0.833537
1415.947382 -0.849568
1443.179573 -0.865908
1470.935506 -0.882561
1499.225255 -0.899535
1528.059086 -0.916835
1557.447463 -0.934468
1587.401052 -0.952441
1617.930723 -0.970758
1649.047555 -0.989429
1680.762842 -1.008458
1713.088092 -1.027853
1746.035038 -1.047621
1779.615635 -1.067769
1813.842070 -1.088305
1848.726765 -1.109236
1884.282380 -1.130569
1920.521817 -1.152313
1957.458229 -1.174475
1995.105020 -1.197063
2033.475852 -1.213390
2072.584651 -1.229034
2112.445610 -1.244978
2153.073194 -1.261229
2194.482147 -1.277793
2236.687498 -1.294675
2279.704562 -1.311882
2323.548952 -1.329420
2368.236578 -1.347295
2413.783658 -1.365513
2460.206722 -1.384083
2507.522618 -1.403009
2555.748515 -1.422299
2604.901917 -1.441961
2655.000660 -1.462000
2706.062927 -1.482425
2758.107249 -1.503243
2811.152512 -1.524461
2865.217968 -1.546087
2920.323237 -1.568129
2976.488317 -1.590595
3033.733591 -1.613493
3092.079835 -1.636832
3151.548222 -1.660619
3212.160333 -1.684864
3273.938167 -1.709575
3336.904142 -1.734762
3401.081109 -1.760432
3466.492359 -1.786597
3533.161630 -1.813265
3601.113117 -1.840445
3670.371481 -1.868149
3740.961854 -1.896385
3812.909857 -1.925164
3886.241598 -1.954497
3960.983691 -1.984393
4037.163260 -2.009291
4114.807952 -2.028702
4193.945945 -2.048486
4274.605958 -2.068651
4356.817264 -2.089204
4440.609698 -2.110152
4526.013668 -2.131503
4613.060170 -2.153265
4701.780792 -2.175445
4792.207733 -2.198052
4884.373808 -2.221093
4978.312466 -2.244578
5074.057799 -2.268514
5171.644552 -2.292911
5271.108142 -2.317777
5372.484663 -2.343121
5475.810907 -2.368953
5581.124372 -2.395281
5688.463277 -2.422116
5797.866576 -2.449467
5909.373973 -2.477343
6023.025934 -2.505756
6138.863706 -2.534716
6256.929325 -2.564232
6377.265641 -2.594316
6499.916322 -2.624979
6624.925882 -2.656231
6752.339687 -2.688085
6882.203975 -2.720551
7014.565877 -2.753641
7149.473428 -2.787368
7286.975587 -2.821744
7427.122254 -2.856781
7569.964290 -2.892491
7715.553534 -2.928888
7863.942821 -2.965986
8015.186003 -3.002847
8169.337968 -3.031751
8326.454659 -3.061210
8486.593094 -3.091236
8649.811390 -3.121840
8816.168780 -3.153032
8985.725636 -3.184824
9158.543492 -3.217227
9334.685066 -3.250253
9514.214280 -3.283915
9697.196288 -3.318224
9883.697494 -3.353193
10073.785583 -3.388835
10267.529539 -3.425162
10464.999673 -3.462187
10666.267648 -3.499925
10871.406508 -3.538389
11080.490698 -3.577592
11293.596097 -3.617549
11510.800043 -3.658275
11732.181362 -3.699784
11957.820394 -3.742091
12187.799025 -3.785212
12422.200718 -3.829163
12661.110539 -3.873958
12904.615189 -3.919615
13152.803040 -3.966151
13405.764160 -4.013581
13663.590352 -4.061923
13926.375184 -4.111195
14194.214021 -4.161415
14467.204065 -4.212601
14745.444387 -4.264771
15029.035962 -4.317944
15318.081709 -4.372140
15612.686524 -4.427379
15912.957323 -4.483679
16219.003077 -4.527375
16530.934851 -4.566367
16848.865849 -4.606108
17172.911452 -4.646614
17503.189257 -4.687899
17839.819126 -4.729977
18182.923225 -4.772865
18532.626070 -4.816578
18889.054569 -4.861132
19252.338076 -4.906542
19622.608428 -4.952826
20000.000000 -5.000000
