# DecayCore target curve
# Target: Harman10
# Frequency_Hz Magnitude_dB
10.000000 10.000000
10.192325 10.000000
10.388349 10.000000
10.588142 10.000000
10.791779 10.000000
10.999331 10.000000
11.210876 10.000000
11.426489 10.000000
11.646249 10.000000
11.870235 10.000000
12.098529 10.000000
12.331214 10.000000
12.568374 10.000000
12.810095 10.000000
13.056465 10.000000
13.307573 10.000000
13.563511 10.000000
13.824371 10.000000
14.090248 10.000000
14.361239 10.000000
14.637441 10.000000
14.918956 10.000000
15.205884 10.000000
15.498331 10.000000
15.796403 10.000000
16.100207 10.000000
16.409854 10.000000
16.725456 10.000000
17.047128 10.000000
17.374987 10.000000
17.709151 10.000000
18.049742 10.000000
18.396884 10.000000
18.750701 10.000000
19.111324 10.000000
19.478882 10.000000
19.853510 10.000000
20.235342 9.990586
20.624518 9.975019
21.021179 9.959153
21.425468 9.942981
21.837533 9.926499
22.257524 9.909699
22.685591 9.892576
23.121891 9.875124
23.566583 9.857337
24.019827 9.839207
24.481788 9.820728
24.952634 9.801895
25.432535 9.780037
25.921666 9.757462
26.420204 9.734452
26.928330 9.711000
27.446229 9.687097
27.974088 9.662734
28.512099 9.637903
29.060458 9.612594
29.619363 9.586799
30.189017 9.560507
30.769627 9.533710
31.361403 9.506397
31.964561 9.472673
32.579319 9.436511
33.205901 9.399653
33.844533 9.362086
34.495447 9.323797
35.158880 9.284772
35.835073 9.244996
36.524271 9.204455
37.226723 9.163134
37.942686 9.121018
38.672418 9.078093
39.416185 9.034342
40.174256 8.986060
40.946907 8.924247
41.734418 8.861247
42.537075 8.797034
43.355168 8.731587
44.188996 8.664880
45.038860 8.596891
45.905070 8.527594
46.787938 8.456965
47.687787 8.384977
48.604942 8.311605
49.539735 8.236821
50.492508 8.162115
51.463604 8.087415
52.453377 8.011279
53.462186 7.933678
54.490397 7.854585
55.538383 7.773971
56.606524 7.691806
57.695209 7.608061
58.804831 7.522705
59.935794 7.435708
61.088509 7.347038
62.263393 7.256662
63.460873 7.167468
64.681383 7.081314
65.925367 6.993504
67.193276 6.904004
68.485570 6.812783
69.802717 6.719808
71.145197 6.625045
72.513496 6.528459
73.908111 6.430016
75.329548 6.329679
76.778323 6.227413
78.254961 6.123179
79.759998 6.016941
81.293982 5.922361
82.857467 5.828552
84.451022 5.732939
86.075226 5.635486
87.730666 5.536160
89.417945 5.434923
91.137675 5.331740
92.890479 5.226571
94.676994 5.119380
96.497868 5.010128
98.353762 4.898774
100.245349 4.787242
102.173317 4.686988
104.138364 4.584805
106.141204 4.480657
108.182563 4.374507
110.263183 4.266314
112.383818 4.156041
114.545239 4.043648
116.748228 3.929092
118.993587 3.812333
121.282130 3.693329
123.614687 3.572036
125.992105 3.463150
128.415247 3.373148
130.884991 3.281415
133.402235 3.187917
135.967892 3.092621
138.582893 2.995493
141.248187 2.896496
143.964741 2.795595
146.733541 2.692754
149.555592 2.587935
152.431918 2.481100
155.363563 2.372211
158.351590 2.261227
161.397085 2.151102
164.501153 2.042460
167.664919 1.931728
170.889533 1.818866
174.176163 1.703834
177.526004 1.586590
180.940271 1.467091
184.420203 1.345293
187.967062 1.221153
191.582136 1.094625
195.266737 0.965664
199.022202 0.834223
202.849894 0.754402
206.751202 0.691981
210.727542 0.628359
214.780357 0.563514
218.911117 0.497422
223.121323 0.430059
227.412501 0.361400
231.786209 0.291421
236.244034 0.220095
240.787595 0.147398
245.418539 0.073303
250.138548 -0.000462
254.949335 -0.016498
259.852645 -0.032842
264.850257 -0.049501
269.943987 -0.066480
275.135681 -0.083786
280.427224 -0.101424
285.820538 -0.119402
291.317577 -0.137725
296.920339 -0.156401
302.630856 -0.175436
308.451200 -0.194837
314.383484 -0.214612
320.429860 -0.234766
326.592524 -0.255308
332.873710 -0.276246
339.275700 -0.297586
345.800815 -0.319336
352.451425 -0.341505
359.229943 -0.364100
366.138828 -0.387129
373.180589 -0.410602
380.357780 -0.434526
387.673006 -0.458910
395.128922 -0.483763
402.728234 -0.502274
410.473700 -0.508728
418.368130 -0.515307
426.414390 -0.522012
434.615400 -0.528846
442.974135 -0.535812
451.493630 -0.542911
460.176975 -0.550147
469.027323 -0.557523
478.047885 -0.565040
487.241935 -0.572702
496.612810 -0.580511
506.163909 -0.588470
515.898700 -0.596582
525.820716 -0.604851
535.933556 -0.613278
546.240892 -0.621867
556.746463 -0.630622
567.454082 -0.639545
578.367636 -0.648640
589.491084 -0.657909
600.828464 -0.667357
612.383890 -0.676987
624.161555 -0.686801
636.165735 -0.696805
648.400784 -0.707001
660.871144 -0.717393
673.581340 -0.727984
686.535985 -0.738780
699.739780 -0.749783
713.197516 -0.760998
726.914079 -0.772428
740.894445 -0.784079
755.143688 -0.795953
769.666979 -0.808056
784.469590 -0.820391
799.556892 -0.832964
814.934360 -0.845779
830.607574 -0.858840
846.582224 -0.872152
862.864106 -0.885720
879.459130 -0.899549
896.373316 -0.913644
913.612805 -0.928011
931.183852 -0.942653
949.092834 -0.957577
967.346250 -0.972789
985.950724 -0.988292
1004.913009 -1.003930
1024.239986 -1.019392
1043.938669 -1.035151
1064.016207 -1.051213
1084.479885 -1.067584
1105.337131 -1.084270
1126.595513 -1.101276
1148.262748 -1.118610
1170.346697 -1.136277
1192.855375 -1.154284
1215.796951 -1.172638
1239.179751 -1.191344
1263.012260 -1.210410
1287.303127 -1.229843
1312.061169 -1.249649
1337.295369 -1.269836
1363.014885 -1.290412
1389.229052 -1.311383
1415.947382 -1.332758
1443.179573 -1.354544
1470.935506 -1.376748
1499.225255 -1.399380
1528.059086 -1.422447
1557.447463 -1.445958
1587.401052 -1.469921
1617.930723 -1.494345
1649.047555 -1.519238
1680.762842 -1.544610
1713.088092 -1.570470
1746.035038 -1.596828
1779.615635 -1.623693
1813.842070 -1.651074
1848.726765 -1.678981
1884.282380 -1.707426
1920.521817 -1.736417
1957.458229 -1.765967
1995.105020 -1.796084
2033.475852 -1.816738
2072.584651 -1.836292
2112.445610 -1.856223
2153.073194 -1.876537
2194.482147 -1.897241
2236.687498 -1.918344
2279.704562 -1.939852
2323.548952 -1.961774
2368.236578 -1.984118
2413.783658 -2.006892
2460.206722 -2.030103
2507.522618 -2.053761
2555.748515 -2.077874
2604.901917 -2.102451
2655.000660 -2.127500
2706.062927 -2.153031
2758.107249 -2.179054
2811.152512 -2.205576
2865.217968 -2.232609
2920.323237 -2.260162
2976.488317 -2.288244
3033.733591 -2.316867
3092.079835 -2.346040
3151.548222 -2.375774
3212.160333 -2.406080
3273.938167 -2.436969
3336.904142 -2.468452
3401.081109 -2.500541
3466.492359 -2.533246
3533.161630 -2.566581
3601.113117 -2.600557
3670.371481 -2.635186
3740.961854 -2.670481
3812.909857 -2.706455
3886.241598 -2.743121
3960.983691 -2.780492
4037.163260 -2.811149
4114.807952 -2.834442
4193.945945 -2.858184
4274.605958 -2.882382
4356.817264 -2.907045
4440.609698 -2.932183
4526.013668 -2.957804
4613.060170 -2.983918
4701.780792 -3.010534
4792.207733 -3.037662
4884.373808 -3.065312
4978.312466 -3.093494
5074.057799 -3.122217
5171.644552 -3.151493
5271.108142 -3.181332
5372.484663 -3.211745
5475.810907 -3.242743
5581.124372 -3.274337
5688.463277 -3.306539
5797.866576 -3.339360
5909.373973 -3.372812
6023.025934 -3.406908
6138.863706 -3.441659
